role_label	class_tertiary	prediction	size
ARG0	0	2	1
ARG0	1	2	5
ARG1	0	2	3
ARG1	1	2	4
ARG2	0	2	1
ARGM-ADV	1	0	3
ARGM-ADV	2	0	9
ARGM-CAU	1	0	1
ARGM-DIR	2	0	1
ARGM-EXT	1	2	1
ARGM-LOC	0	2	1
ARGM-MNR	1	2	1
ARGM-PRP	2	1	1
ARGM-TMP	0	2	2
ARGM-TMP	1	2	3
V	1	0	28
V	2	0	25
