role_label	class_binary	prediction	size
ARG0	0	1	2
ARG1	0	1	5
ARG2	0	1	1
ARGM-ADV	1	0	10
ARGM-DIR	1	0	1
ARGM-LOC	0	1	1
ARGM-PRP	1	0	1
ARGM-TMP	0	1	3
V	1	0	39
