,FALSE,TRUE,UNCERTAIN
ARG0,20.0,322.0,50.0
ARG1,17.0,473.0,30.0
ARG2,8.0,83.0,4.0
ARG3,-,2.0,-
ARG4,-,5.0,-
ARGM-ADV,42.0,32.0,27.0
ARGM-CAU,6.0,4.0,3.0
ARGM-DIR,7.0,4.0,-
ARGM-EXT,2.0,8.0,2.0
ARGM-LOC,4.0,14.0,3.0
ARGM-MNR,1.0,33.0,3.0
ARGM-PNC,-,5.0,-
ARGM-PRP,-,1.0,1.0
ARGM-TMP,10.0,59.0,12.0
V,290.0,110.0,191.0
